infraction_description,set_fine_amount,location2
PARK ON PRIVATE PROPERTY,30,55 ANN O'REILLY RD
PARK ON PRIVATE PROPERTY,30,55 ANN O'REILLY RD
PARK ON PRIVATE PROPERTY,30,55 ANN O'REILLY RD
PARK ON PRIVATE PROPERTY,30,55 ANN O'REILLY RD
PARK ON PRIVATE PROPERTY,30,56E LIBERTY ST
PARK ON PRIVATE PROPERTY,30,56E LIBERTY ST
PARK ON PRIVATE PROPERTY,30,65 DYNEVOR RD
PARK ON PRIVATE PROPERTY,30,56E LIBERTY ST
PARK ON PRIVATE PROPERTY,30,3485 ST CLAIR AVE E
PARK ON PRIVATE PROPERTY,30,56E LIBERTY ST
PARK ON PRIVATE PROPERTY,30,56E LIBERTY ST
PARK ON PRIVATE PROPERTY,30,3485 ST CLAIR AVE E
PARK ON PRIVATE PROPERTY,30,3485 ST CLAIR AVE E
PARK ON PRIVATE PROPERTY,30,82 BUTTONWOOD AVE
PARK ON PRIVATE PROPERTY,30,3485 ST CLAIR AVE E
PARK ON PRIVATE PROPERTY,30,56E LIBERTY ST
PARK ON PRIVATE PROPERTY,30,3485 ST CLAIR AVE E
PARK ON PRIVATE PROPERTY,30,56E LIBERTY ST
PARK ON PRIVATE PROPERTY,30,82 BUTTONWOOD AVE
PARK ON PRIVATE PROPERTY,30,56E LIBERTY ST
PARK ON PRIVATE PROPERTY,30,82 BUTTONWOOD AVE
PARK ON PRIVATE PROPERTY,30,82 BUTTONWOOD AVE
PARK ON PRIVATE PROPERTY,30,15 FORT YORK BLVD
PARK ON PRIVATE PROPERTY,30,12 YONGE ST
PARK ON PRIVATE PROPERTY,30,10 EDDYSTONE AVE
PARK ON PRIVATE PROPERTY,30,10 EDDYSTONE AVE
PARK ON PRIVATE PROPERTY,30,5101 DUNDAS ST W
PARK ON PRIVATE PROPERTY,30,1571 SANDHURST CRCL
PARK ON PRIVATE PROPERTY,30,170 ISLINGTON AVE
PARK ON PRIVATE PROPERTY,30,100 GRAYDON HALL DR
PARK ON PRIVATE PROPERTY,30,16 YONGE ST
PARK ON PRIVATE PROPERTY,30,1803 MARTIN GROVE RD
PARK ON PRIVATE PROPERTY,30,16 YONGE ST
PARK ON PRIVATE PROPERTY,30,16 YONGE ST
PARK ON PRIVATE PROPERTY,30,2500 BRIDLETOWN CIR
PARK ON PRIVATE PROPERTY,30,30 FONTENAY CRT
PARK ON PRIVATE PROPERTY,30,15 VALLEY WOODS RD
PARK ON PRIVATE PROPERTY,30,50 CORDOVA AVE
PARK ON PRIVATE PROPERTY,30,50 CORDOVA AVE
PARK ON PRIVATE PROPERTY,30,50 CORDOVA AVE
PARK ON PRIVATE PROPERTY,30,50 CORDOVA AVE
PARK ON PRIVATE PROPERTY,30,50 CORDOVA AVE
PARK ON PRIVATE PROPERTY,30,50 CORDOVA AVE
PARK ON PRIVATE PROPERTY,30,50 CORDOVA AVE
PARK ON PRIVATE PROPERTY,30,50 CORDOVA AVE
PARK ON PRIVATE PROPERTY,30,24 MABELLE AVE
PARK ON PRIVATE PROPERTY,30,24 MABELLE AVE
PARK ON PRIVATE PROPERTY,30,24 MABELLE AVE
PARK ON PRIVATE PROPERTY,30,24 MABELLE AVE
PARK ON PRIVATE PROPERTY,30,24 MABELLE AVE
PARK ON PRIVATE PROPERTY,30,24 MABELLE AVE
PARK ON PRIVATE PROPERTY,30,24 MABELLE AVE
PARK ON PRIVATE PROPERTY,30,5000 JANE ST
PARK ON PRIVATE PROPERTY,30,2495 EGLINTON AVE E
PARK ON PRIVATE PROPERTY,30,325 FRONT ST W
PARK ON PRIVATE PROPERTY,30,910 QUEENS PLATE DR
PARK ON PRIVATE PROPERTY,30,910 QUEENS PLATE DR
PARK ON PRIVATE PROPERTY,30,910 QUEENS PLATE DR
PARK ON PRIVATE PROPERTY,30,910 QUEENS PLATE DR
PARK ON PRIVATE PROPERTY,30,910 QUEENS PLATE DR
PARK ON PRIVATE PROPERTY,30,55 ANN O'REILLY RD
PARK ON PRIVATE PROPERTY,30,4968 YONGE ST
PARK ON PRIVATE PROPERTY,30,55 ANN O'REILLY RD
PARK ON PRIVATE PROPERTY,30,910 QUEENS PLATE DR
PARK ON PRIVATE PROPERTY,30,4978 YONGE ST
PARK ON PRIVATE PROPERTY,30,910 QUEENS PLATE DR
PARK ON PRIVATE PROPERTY,30,8 FIELDWAY RD
PARK ON PRIVATE PROPERTY,30,4978 YONGE ST
PARK ON PRIVATE PROPERTY,30,910 QUEENS PLATE DR
PARK ON PRIVATE PROPERTY,30,17 ANNDALE DR
PARK ON PRIVATE PROPERTY,30,8 FIELDWAY RD
PARK ON PRIVATE PROPERTY,30,910 QUEENS PLATE DR
PARK ON PRIVATE PROPERTY,30,8 FIELDWAY RD
PARK ON PRIVATE PROPERTY,30,8 FIELDWAY RD
PARK ON PRIVATE PROPERTY,30,2777 KIPLING AVE
PARK ON PRIVATE PROPERTY,30,2777 KIPLING AVE
PARK ON PRIVATE PROPERTY,30,2777 KIPLING AVE
PARK ON PRIVATE PROPERTY,30,2777 KIPLING AVE
PARK ON PRIVATE PROPERTY,30,3725 DUNDAS ST W.
PARK ON PRIVATE PROPERTY,30,72 ESTHER SHINER BLVD
PARK ON PRIVATE PROPERTY,30,4 SPADINA AVE
PARK ON PRIVATE PROPERTY,30,4001 LESLIE ST
PARK ON PRIVATE PROPERTY,30,555 BRIMORTON DR
PARK ON PRIVATE PROPERTY,30,4001 LESLIE ST
PARK ON PRIVATE PROPERTY,30,4001 LESLIE ST
PARK ON PRIVATE PROPERTY,30,4001 LESLIE ST
PARK ON PRIVATE PROPERTY,30,4001 LESLIE ST
PARK ON PRIVATE PROPERTY,30,4001 LESLIE ST
PARK ON PRIVATE PROPERTY,30,4001 LESLIE ST
PARK ON PRIVATE PROPERTY,30,451 THE WEST MALL
PARK ON PRIVATE PROPERTY,30,4001 LESLIE ST
PARK ON PRIVATE PROPERTY,30,4001 LESLIE ST
PARK ON PRIVATE PROPERTY,30,4001 LESLIE ST
PARK ON PRIVATE PROPERTY,30,451 THE WEST MALL
PARK ON PRIVATE PROPERTY,30,4001 LESLIE ST
PARK ON PRIVATE PROPERTY,30,10 QUEENS QUAY W
PARK ON PRIVATE PROPERTY,30,4001 LESLIE ST
PARK ON PRIVATE PROPERTY,30,10 QUEENS QUAY W
PARK ON PRIVATE PROPERTY,30,25 FONTENAY CRT
PARK ON PRIVATE PROPERTY,30,130 BELLAMY RD N
PARK ON PRIVATE PROPERTY,30,451 THE WEST MALL
PARK ON PRIVATE PROPERTY,30,130 BELLAMY RD N
PARK ON PRIVATE PROPERTY,30,180 CHALKFARM DR
PARK ON PRIVATE PROPERTY,30,130 BELLAMY RD N
PARK ON PRIVATE PROPERTY,30,130 BELLAMY RD N
PARK ON PRIVATE PROPERTY,30,130 BELLAMY RD N
PARK ON PRIVATE PROPERTY,30,25 TELEGRAM MEWS
PARK ON PRIVATE PROPERTY,30,451 THE WEST MALL
PARK ON PRIVATE PROPERTY,30,451 THE WEST MALL
PARK ON PRIVATE PROPERTY,30,130 BELLAMY RD N
PARK ON PRIVATE PROPERTY,30,150 GRAYDON HALL DR
PARK ON PRIVATE PROPERTY,30,5 NORTHTOWN WAY
PARK ON PRIVATE PROPERTY,30,20 FALSTAFF AVE
PARK ON PRIVATE PROPERTY,30,20 FALSTAFF AVE
PARK ON PRIVATE PROPERTY,30,20 FALSTAFF AVE
PARK ON PRIVATE PROPERTY,30,20 FALSTAFF AVE
PARK ON PRIVATE PROPERTY,30,20 FALSTAFF AVE
PARK ON PRIVATE PROPERTY,30,61 MARKBROOK LANE
PARK ON PRIVATE PROPERTY,30,20 FASTAFF AVE
PARK ON PRIVATE PROPERTY,30,65 FRONT ST W
PARK ON PRIVATE PROPERTY,30,20 FALSTAFF AVE
PARK ON PRIVATE PROPERTY,30,38 STEWART ST
PARK ON PRIVATE PROPERTY,30,2220 LAKE SHORE BLVD W
PARK ON PRIVATE PROPERTY,30,170 BAYVIEW AVE
PARK ON PRIVATE PROPERTY,30,20 FALSTAFF AVE
PARK ON PRIVATE PROPERTY,30,20 FALSTAFF AVE
