infraction_description 	 set_fine_amount 	 location2
PARK IN A FIRE ROUTE 	 250 	 251 CONSUMERS RD
PARK IN A FIRE ROUTE 	 250 	 8 TELEGRAM MEWS
PARK IN A FIRE ROUTE 	 250 	 8 TELEGRAM MEWS
PARK IN A FIRE ROUTE 	 250 	 8 TELEGRAM MEWS
PARK IN A FIRE ROUTE 	 250 	 8 TELEGRAM MEWS
PARK IN A FIRE ROUTE 	 250 	 8 TELEGRAM MEWS
PARK IN A FIRE ROUTE 	 250 	 257 ROYWOOD DR
PARK IN A FIRE ROUTE 	 250 	 257 ROYWOOD DR
PARK IN A FIRE ROUTE 	 250 	 1884 DAVENPORT RD
PARK IN A FIRE ROUTE 	 250 	 1090 DON MILLS RD
PARK IN A FIRE ROUTE 	 250 	 1090 DON MILLS RD
PARK IN A FIRE ROUTE 	 250 	 2 VENA WAY
PARK IN A FIRE ROUTE 	 250 	 1800 SHEPPARD AVE E
PARK IN A FIRE ROUTE 	 250 	 1800 SHEPPARD AVE E
PARK IN A FIRE ROUTE 	 250 	 4001 LESLIE ST
PARK IN A FIRE ROUTE 	 250 	 4001 LESLIE ST
PARK IN A FIRE ROUTE 	 250 	 4001 LESLIE ST
PARK IN A FIRE ROUTE 	 250 	 375 COOK RD
PARK IN A FIRE ROUTE 	 250 	 1800 SHEPPARD AVE E
PARK IN A FIRE ROUTE 	 250 	 40 FALSTAFF AVE
PARK IN A FIRE ROUTE 	 250 	 15 ICEBOAT TER
PARK IN A FIRE ROUTE 	 250 	 131 MINERVA AVE
PARK IN A FIRE ROUTE 	 250 	 30 GORDONRIDGE PL
PARK IN A FIRE ROUTE 	 250 	 5 BROCKLEY DR
PARK IN A FIRE ROUTE 	 250 	 1075 ELLESMERE RD
PARK IN A FIRE ROUTE 	 250 	 30 DUNDALK DR
PARK IN A FIRE ROUTE 	 250 	 1 EGLINTON SQ
PARK IN A FIRE ROUTE 	 250 	 1770 EGLINTON AVE E
PARK IN A FIRE ROUTE 	 250 	 1770 EGLINTON AVE E
PARK IN A FIRE ROUTE 	 250 	 1530 EGLINTON AVE E
PARK IN A FIRE ROUTE 	 250 	 1530 EGLINTON AVE E
PARK IN A FIRE ROUTE 	 250 	 5093 SHEPPARD AVE E
PARK IN A FIRE ROUTE 	 250 	 135 FENELON DR
PARK IN A FIRE ROUTE 	 250 	 10 NAVY WHARF CRT
PARK IN A FIRE ROUTE 	 250 	 15 ICEBOAT TER
PARK IN A FIRE ROUTE 	 250 	 555 REXDALE BLVD
PARK IN A FIRE ROUTE 	 250 	 20 WILLIAM KITCHEN RD
PARK IN A FIRE ROUTE 	 250 	 3266 WESTON RD
PARK IN A FIRE ROUTE 	 250 	 250 ALTON TOWERS CRCL
PARK IN A FIRE ROUTE 	 250 	 55 FOREST MANOR RD
PARK IN A FIRE ROUTE 	 250 	 2045 FINCH AVE W
PARK IN A FIRE ROUTE 	 250 	 200 SIR WILLIAM HEARST AVE
PARK IN A FIRE ROUTE 	 250 	 4700 KEELE ST
PARK IN A FIRE ROUTE 	 250 	 4700 KEELE ST
PARK IN A FIRE ROUTE 	 250 	 4700 KEELE ST
PARK IN A FIRE ROUTE 	 250 	 4700 KEELE ST
PARK IN A FIRE ROUTE 	 250 	 85 ELLESMERE RD
PARK IN A FIRE ROUTE 	 250 	 85 ELLESMERE RD
PARK IN A FIRE ROUTE 	 250 	 85 ELLESMERE RD
PARK IN A FIRE ROUTE 	 250 	 19 COLONEL SAMUEL SMITH PARK DRIVE
PARK IN A FIRE ROUTE 	 250 	 1780 VICTORIA PARK AVE
PARK IN A FIRE ROUTE 	 250 	 505 CONSUMERS RD
PARK IN A FIRE ROUTE 	 250 	 7 CRESCENT PL
PARK IN A FIRE ROUTE 	 250 	 21 ICEBOAT TER
PARK IN A FIRE ROUTE 	 250 	 2008 PHARMACY AVE
PARK IN A FIRE ROUTE 	 250 	 263 PHARMACY AVE
PARK IN A FIRE ROUTE 	 250 	 273 PHARMACY AVE
PARK IN A FIRE ROUTE 	 250 	 5 MARINER TER
PARK IN A FIRE ROUTE 	 250 	 50 QUEEN ELIZABETH BLVD
PARK IN A FIRE ROUTE 	 250 	 739 BIRCHMOUNT RD
PARK IN A FIRE ROUTE 	 250 	 710 HUMBERWOOD BLVD
PARK IN A FIRE ROUTE 	 250 	 1571 SANDHURST CRCL
PARK IN A FIRE ROUTE 	 250 	 20 ANTRIM CRES
PARK IN A FIRE ROUTE 	 250 	 255 CONSUMERS RD
PARK IN A FIRE ROUTE 	 250 	 1 EGLINTON SQ
PARK IN A FIRE ROUTE 	 250 	 263 PHARMACY AVE
PARK IN A FIRE ROUTE 	 250 	 1 EGLINTON SQ
PARK IN A FIRE ROUTE 	 250 	 30 TEESDALE PL
PARK IN A FIRE ROUTE 	 250 	 31 TAPSCOTT RD
PARK IN A FIRE ROUTE 	 250 	 311 WASHBURN WAY
PARK IN A FIRE ROUTE 	 250 	 311 WASHBURN WAY
PARK IN A FIRE ROUTE 	 250 	 311 WASHBURN WAY
PARK IN A FIRE ROUTE 	 250 	 5085 SHEPPARD AVE E
PARK IN A FIRE ROUTE 	 250 	 5085 SHEPPARD AVE E
PARK IN A FIRE ROUTE 	 250 	 2283 EGLINTON AVE E
PARK IN A FIRE ROUTE 	 250 	 8 TELEGRAM MEWS
PARK IN A FIRE ROUTE 	 250 	 25 TELEGRAM MEWS
PARK IN A FIRE ROUTE 	 250 	 15 ICEBOAT TER
PARK IN A FIRE ROUTE 	 250 	 5085 SHEPPARD AVE E
PARK IN A FIRE ROUTE 	 250 	 5085 SHEPPARD AVE E
PARK IN A FIRE ROUTE 	 250 	 4001 LESLIE ST
