infraction_description,set_fine_amount,location2
PARK ON PRIVATE PROPERTY,30,80 MITCHELL AVE
PARK ON PRIVATE PROPERTY,30,789 DON MILLS RD
PARK ON PRIVATE PROPERTY,30,2075 BAYVIEW AV
PARK ON PRIVATE PROPERTY,30,350 QUEENS QUAY W
PARK ON PRIVATE PROPERTY,30,789 DON MILLS RD
PARK ON PRIVATE PROPERTY,30,941 PROGRESS AVE
PARK ON PRIVATE PROPERTY,30,350 QUEENS QUAY W
PARK ON PRIVATE PROPERTY,30,3555 DON MILLS RD
PARK ON PRIVATE PROPERTY,30,2425 BLOOR ST WEST
PARK ON PRIVATE PROPERTY,30,477 RICHMOND ST W
PARK ON PRIVATE PROPERTY,30,477 RICHMOND ST W
PARK ON PRIVATE PROPERTY,30,477 RICHMOND ST W
PARK ON PRIVATE PROPERTY,30,2275 BAYVIEW AVE
PARK ON PRIVATE PROPERTY,30,477 RICHMOND ST W
PARK ON PRIVATE PROPERTY,30,477 RICHMOND ST W
PARK ON PRIVATE PROPERTY,30,75 BILLY BISHOP WAY
PARK ON PRIVATE PROPERTY,30,477 RICHMOND ST W
PARK ON PRIVATE PROPERTY,30,2275 BAYVIEW AVE
PARK ON PRIVATE PROPERTY,30,477 RICHMOND ST W
PARK ON PRIVATE PROPERTY,30,477 RICHMOND ST W
PARK ON PRIVATE PROPERTY,30,213 STERLING RD
PARK ON PRIVATE PROPERTY,30,75 BILLY BISHOP WAY
PARK ON PRIVATE PROPERTY,30,4685 YONGE ST
PARK ON PRIVATE PROPERTY,30,213 STERLING RD
PARK ON PRIVATE PROPERTY,30,213 STERLING RD
PARK ON PRIVATE PROPERTY,30,75 BILLY BISHOP WAY
PARK ON PRIVATE PROPERTY,30,1750 FINCH AVE E
PARK ON PRIVATE PROPERTY,30,415 JARVIS ST
PARK ON PRIVATE PROPERTY,30,114 CHURCH ST
PARK ON PRIVATE PROPERTY,30,25 WOOD ST
PARK ON PRIVATE PROPERTY,30,4700 KEELE ST
PARK ON PRIVATE PROPERTY,30,885 PROGRESS AVE
PARK ON PRIVATE PROPERTY,30,114 CHURCH ST
PARK ON PRIVATE PROPERTY,30,4700 KEELE ST
PARK ON PRIVATE PROPERTY,30,25 WOOD ST
PARK ON PRIVATE PROPERTY,30,2075 BAYVIEW AVE
PARK ON PRIVATE PROPERTY,30,885 PROGRESS AVE
PARK ON PRIVATE PROPERTY,30,1750 FINCH AVE E
PARK ON PRIVATE PROPERTY,30,213 HURON ST
PARK ON PRIVATE PROPERTY,30,15 KING'S COLLEGE CIRCLE
PARK ON PRIVATE PROPERTY,30,885 PROGRESS AVE
PARK ON PRIVATE PROPERTY,30,600 FLEET ST
PARK ON PRIVATE PROPERTY,30,88 COLLEGE ST
PARK ON PRIVATE PROPERTY,30,885 PROGRESS AVE
PARK ON PRIVATE PROPERTY,30,478 KING ST W
PARK ON PRIVATE PROPERTY,30,1750 FINCH AVE E
PARK ON PRIVATE PROPERTY,30,4700 KEELE ST
PARK ON PRIVATE PROPERTY,30,15 BRANT ST
PARK ON PRIVATE PROPERTY,30,908 SHEPPARD AVE W
PARK ON PRIVATE PROPERTY,30,908 SHEPPARD AVE W
PARK ON PRIVATE PROPERTY,30,885 PROGRESS AVE
PARK ON PRIVATE PROPERTY,30,908 SHEPPARD AVE W
PARK ON PRIVATE PROPERTY,30,908 SHEPPARD AVE W
PARK ON PRIVATE PROPERTY,30,885 PROGRESS AVE
PARK ON PRIVATE PROPERTY,30,15 BRANT ST
PARK ON PRIVATE PROPERTY,30,44 DEVONSHIRE PL
PARK ON PRIVATE PROPERTY,30,88 COLLEGE ST
PARK ON PRIVATE PROPERTY,30,685 MCCOWAN RD
PARK ON PRIVATE PROPERTY,30,2075 BAYVIEW AVE
PARK ON PRIVATE PROPERTY,30,478 KING ST W
PARK ON PRIVATE PROPERTY,30,1515 BATHURST ST
PARK ON PRIVATE PROPERTY,30,4700 KEELE ST
PARK ON PRIVATE PROPERTY,30,478 KING ST W
PARK ON PRIVATE PROPERTY,30,1515 BATHURST ST
PARK ON PRIVATE PROPERTY,30,1515 BATHURST ST
PARK ON PRIVATE PROPERTY,30,685 MCCOWAN RD
PARK ON PRIVATE PROPERTY,30,478 KING ST W
PARK ON PRIVATE PROPERTY,30,1515 BATHURST ST
PARK ON PRIVATE PROPERTY,30,1515 BATHURST ST
PARK ON PRIVATE PROPERTY,30,2075 BAYVIEW AVE
PARK ON PRIVATE PROPERTY,30,4700 KEELE ST
